name,post_abbr,date
Alabama,AL,1819-12-14
Alaska,AK,1959-01-03
Arizona,AZ,1912-02-14
Arkansas,AR,1836-06-15
California,CA,1850-09-09
Colorado,CO,1876-08-01
Connecticut,CT,1788-01-09
Delaware,DE,1787-12-07
Florida,FL,1845-03-03
Georgia,GA,1788-01-02
Hawaii,HI,1959-08-21
Idaho,ID,1890-07-03
Illinois,IL,1818-12-03
Indiana,IN,1816-12-11
Iowa,IA,1846-12-28
Kansas,KS,1861-01-29
Kentucky,KY,1792-06-01
Louisiana,LA,1812-04-30
Maine,ME,1820-03-15
Maryland,MD,1788-04-28
Massachusetts,MA,1788-02-06
Michigan,MI,1837-01-26
Minnesota,MN,1858-05-11
Mississippi,MS,1817-12-10
Missouri,MO,1821-08-10
Montana,MT,1889-11-08
Nebraska,NE,1867-03-01
Nevada,NV,1864-10-31
New Hampshire,NH,1788-06-21
New Jersey,NJ,1787-12-18
New Mexico,NM,1912-01-06
New York,NY,1788-07-26
North Carolina,NC,1789-11-21
North Dakota,ND,1889-11-02
Ohio,OH,1803-03-01
Oklahoma,OK,1907-11-16
Oregon,OR,1859-02-14
Pennsylvania,PA,1787-12-12
Rhode Island,RI,1790-05-29
South Carolina,SC,1788-05-23
South Dakota,SD,1889-11-02
Tennessee,TN,1796-06-01
Texas,TX,1845-12-29
Utah,UT,1896-01-04
Vermont,VT,1791-03-04
Virginia,VA,1788-06-25
Washington,WA,1889-11-11
West Virginia,WV,1863-06-20
Wisconsin,WI,1848-05-29
Wyoming,WY,1890-07-10
